species	life form	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	diet 1	diet 2	diet source	home range	female range	male range	daily range	daily movement	population density	home range habitat
Synallaxis erythrothorax	bird	10	2			2	2.18	2.14	15.3	14.3	-90.8	-92.7	25.000	26.85	1993.0	2000.0	0.010215	0.009274	0.016891	0.016891	0.031008		0.013333	LC	17.1	1	species					invertivore		species							
Synallaxis ruficapilla	bird	29	2			1		0.26	-23.6	-23.7	-46.6	-46.9	18.000	19.3	1400.0	1661.0	0.023539	0.014345	0.024171	0.024171	0.043624		0.058233	LC	13.8	1	species					invertivore		species							
Synallaxis rutilans	bird	47	8	17	0.2941	7	12.93	47.00	7.8	-14.1	-60.9	-76.2	24.000	26.350	1450.0	3500.0	0.009361	0.008492	0.009562	0.024127	0.044025	0.005719	0.019115	LC	16.7	1	species					invertivore		species							
Synallaxis scutata	bird	14	2			2	2.15	2.97	-17.0	-18.7	-45.9	-48.5	22.500	22.500	1442.0	1550.0	0.013685	0.009955	0.011905	0.011905	0.018433		0.003509	LC								invertivore		genus							
Synallaxis spixi	bird	24	1			1			-21.8	-21.8	-46.6	-46.6	19.5	19.5	1500.0	1500.0	0.046967	0.046967	0.046967	0.046967	0.046967		0.066852	LC	12.6	1	species					invertivore		species							
Synallaxis superciliosa	bird	5	2			1		0	-27.2	-27.2	-65.6	-65.6	18.800	18.800	1700.0	1700.0	0.001607	0.001581	0.001649	0.001649	0.002119		0.004167									invertivore		genus							
Syndactyla guttulata	bird	6	2			1		0.07	10.4	10.4	-67.6	-67.7	15.500	25.6	876.0	1700.0	0.014388	0.021448	0.026682	0.026682	0.042553		0.026667	LC	36	1	species					invertivore		genus							
Syndactyla rufosuperciliata	bird	234	4	2	0.5000	3	10.91	18.88	-23.7	-27.2	-46.9	-65.6	18.800	20.000	739.0	1700.0	0.060372	0.041820	0.070626	0.075786	0.078125	0.030581	0.146067	LC	25.6	1	species					invertivore		species							
Systellura longirostris	bird	2	1			1			-4.3	-4.3	-79.0	-79.0					0.002210	0.002210	0.002210	0.002210	0.002210		0.008333	LC																	
Tachornis squamata	bird	28	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.021180	0.021180	0.021180	0.021180	0.021180		0.005062	LC	10.9777046781192	2	species														
Tachycineta albilinea	bird	1	1			1			14.3	14.3	-90.8	-90.8	25.000	25.000	2000.0	2000.0	0.003876	0.003876	0.003876	0.003876	0.003876			LC	16.7	1	species					invertivore		species							
Tachycineta leucopyga	bird	2	1			1			-35.4	-35.4	-72.3	-72.3	13.35	13.35	481.0	481.0	0.000896	0.000896	0.000896	0.000896	0.000896		0.000926									invertivore		species							
Tachyphonus coronatus	bird	31	5	5	0.2000	4	4.62	10.43	-21.8	-23.7	-43.0	-52.2	18.000	21.000	1200.0	1661.0	0.008540	0.008178	0.016779	0.017296	0.037037	0.004902	0.028005	LC	29.3	1	species					omnivore		species							
Tachyphonus cristatus	bird	13	6	19	0.1579	4	21.42	48.87	-0.6	-14.1	-35.0	-71.0	24.000	25.500	1450.0	3500.0	0.004188	0.005740	0.007660	0.019343	0.038835	0.001202	0.004638	LC	18.8	1	species					invertivore	frugivore	species							
Tachyphonus delatrii	bird	60	2			1		0	10.4	10.4	-84.0	-84.0	26.000	26.000	4260.0	4260.0	0.036720	0.031844	0.034058	0.034058	0.046138		0.025000	LC	18	1	species					frugivore		species							
Tachyphonus luctuosus	bird	9	5	45	0.0667	5	21.39	50.94	13.7	-16.3	-56.8	-85.8	24.400	27.000	1631.0	4260.0	0.002072	0.003064	0.002667	0.003009	0.016807	0.000289	0.003614	LC	13	1	species					invertivore	frugivore	species							
Tachyphonus rufus	bird	90	9	61	0.0820	8	27.16	74.36	10.7	-20.8	-35.1	-84.0	20.5	27.300	430.0	4260.0	0.012297	0.011840	0.012987	0.027778	0.066225	0.003337	0.023931	LC	34.4	1	species					frugivore	invertivore	species							
Tachyphonus surinamus	bird	61	8	10	0.5000	7	11.94	31.86	-0.6	-8.5	-50.0	-74.7	24.000	26.700	1920.0	3500.0	0.015223	0.013165	0.013932	0.017861	0.022883	0.010594	0.011357	LC	19	1	species					frugivore		species							
Tanagra gouldi	bird	2	1			1			17.1	17.1	-95.1	-95.1	28.4	28.4	1050.0	1050.0	0.021277	0.021277	0.021277	0.021277	0.021277		0.033333																		
Tangara arthus	bird	5	2			1		0.07	10.4	10.4	-67.6	-67.7	15.500	25.6	876.0	1700.0	0.011990	0.018575	0.034618	0.034618	0.063830		0.013333	LC	22	1	species					frugivore	invertivore	species							
Tangara callophrys	bird	1	1	1	0.0000	1			-0.6	-0.6	-71.0	-71.0	24.000	24.000	3500.0	3500.0	0.001144	0.001144	0.001144	0.001144	0.001144	0.000000		LC	22.9	1	species					frugivore	omnivore	genus							
Tangara cayana	bird	46	7	13	0.3077	7	11.09	36.22	-6.7	-21.8	-35.2	-60.9	19.5	25.500	1442.0	1552.0	0.014029	0.010180	0.007680	0.044478	0.079268	0.011590	0.023941	LC	18	1	species					omnivore		species							
Tangara chilensis	bird	2	1			1			-14.1	-14.1	-60.9	-60.9	25.500	25.500	1450.0	1450.0	0.003125	0.003125	0.003125	0.003125	0.003125			LC	19.7737199332852	2	species					frugivore		species							
Tangara cyanocephala	bird	1	1			1			-23.2	-23.2	-44.2	-44.2	23.000	23.000	1700.0	1700.0	0.003448	0.003448	0.003448	0.003448	0.003448		0.003236	LC	18	1	species					frugivore		species							
Tangara episcopus	bird	18	1			1			-9.9	-9.9	-67.9	-67.9	26.100	26.100	1951.0	1951.0	0.013616	0.013616	0.013616	0.013616	0.013616		0.003254									frugivore	omnivore	genus							
